    0.233142733573913574E+00    0.171895559906994919E+03    0.416741251945495605E+00    0.208436613866806027E+03    0.551558402946233764E+05    0.409383237361907959E+00    0.639027655124664307E+00    0.277424292595128054E+04
    0.995379686355590820E-02    0.134265961771032191E+06    0.587944626808166504E+00    0.207904102155685422E+03    0.551547505054712310E+05    0.824450373649597168E+00    0.654532492160797119E+00    0.277621213992859703E+04
    0.250521898269653320E-01    0.108098976698493743E+04    0.973888874053955078E+00    0.207261580774307248E+03    0.551549687586069122E+05    0.835990607738494873E+00    0.548488616943359375E+00    0.277698438727456960E+04
    0.590735673904418945E+00    0.403475860396706732E+06    0.157579839229583740E+01    0.207523586341857907E+03    0.551550584439277663E+05    0.784831404685974121E+00    0.419581055641174316E+00    0.277712905591308709E+04
    0.304455518722534180E+00    0.998977774828276131E+06    0.158609485626220703E+01    0.207718035766601560E+03    0.551548040684700027E+05    0.407454490661621094E+00    0.870339453220367432E+00    0.277724041791828995E+04
    0.843586146831512451E+00    0.933870138373146765E+06    0.182564973831176758E+01    0.208123045989990231E+03    0.551557001710176482E+05    0.783027887344360352E+00    0.133654713630676270E+00    0.277726158435895695E+04
    0.732464253902435303E+00    0.929619510910355253E+06    0.194226157665252686E+01    0.208036246010780332E+03    0.551542342089653030E+05    0.376549303531646729E+00    0.611250638961791992E+00    0.277726338312954795E+04
    0.546743512153625488E+00    0.934701041552079725E+06    0.556252360343933105E+00    0.207275457212448117E+03    0.551547375201225295E+05    0.172802805900573730E+00    0.654291212558746338E+00    0.277726400847841387E+04
    0.235804200172424316E+00    0.905667502139103948E+06    0.123831915855407715E+01    0.208519357869148251E+03    0.551555696530580535E+05    0.875473201274871826E+00    0.785350501537322998E+00    0.277727053780243068E+04
    0.167742192745208740E+00    0.912503716659720056E+06    0.125228464603424072E+01    0.207455896207809445E+03    0.551543822565317168E+05    0.763094425201416016E+00    0.157953202724456787E+00    0.277727143990517698E+04
    0.643990278244018555E+00    0.887325177607088001E+06    0.878756284713745117E+00    0.208949091979980466E+03    0.551555733478307739E+05    0.355395913124084473E+00    0.362622082233428955E+00    0.277727598553530834E+04
    0.645275533199310303E+00    0.888356772521499894E+06    0.898522019386291504E+00    0.208789873311042783E+03    0.551553191039800658E+05    0.396244525909423828E+00    0.653028666973114014E+00    0.277727610642250238E+04
    0.345518112182617188E+00    0.892393008289014106E+06    0.413213849067687988E+00    0.208294755646705624E+03    0.551557855992555633E+05    0.934662938117980957E+00    0.602385044097900391E+00    0.277727617814718178E+04
    0.474962055683135986E+00    0.895153720715098898E+06    0.723932504653930664E+00    0.207559173652648923E+03    0.551539925538539901E+05    0.858370065689086914E-01    0.296527266502380371E+00    0.277727750700212982E+04
    0.284417152404785156E+00    0.867875859210293391E+06    0.154266655445098877E+01    0.208349358508110043E+03    0.551558093947410598E+05    0.459832429885864258E+00    0.623052239418029785E+00    0.277728528938946965E+04
    0.223248541355133057E+00    0.858885055623442284E+06    0.189182496070861816E+01    0.207540144273757932E+03    0.551544849877595916E+05    0.680509269237518311E+00    0.521244406700134277E+00    0.277729135491184570E+04
    0.556872665882110596E+00    0.844548850079328287E+06    0.180520665645599365E+01    0.208978209802627561E+03    0.551556342762947097E+05    0.765907108783721924E+00    0.853604853153228760E+00    0.277729236228580839E+04
    0.354597806930541992E+00    0.825832428290072712E+06    0.150436329841613770E+01    0.208343455979347226E+03    0.551540910566091552E+05    0.313975930213928223E+00    0.217474937438964844E+00    0.277730186054419937E+04
    0.196164846420288086E-02    0.829631723412880092E+06    0.165616405010223389E+01    0.207447707602500913E+03    0.551542430173397079E+05    0.552624642848968506E+00    0.165667533874511719E+00    0.277730320297436401E+04
    0.271463394165039062E-01    0.822135829981782939E+06    0.190177476406097412E+01    0.208065051028251645E+03    0.551543960398674026E+05    0.489790618419647217E+00    0.206555247306823730E+00    0.277730424741147817E+04
    0.254789710044860840E+00    0.814064537619770621E+06    0.155998957157135010E+01    0.208652260491371152E+03    0.551541056517601028E+05    0.700639486312866211E-01    0.703655362129211426E+00    0.277730565722741721E+04
    0.180516302585601807E+00    0.816305938277801266E+06    0.157469248771667480E+01    0.207274297067642209E+03    0.551549535750389114E+05    0.882408857345581055E+00    0.215388536453247070E-01    0.277730915805231734E+04
    0.139298439025878906E+00    0.790933035076995147E+06    0.175882101058959961E+01    0.208870795676231381E+03    0.551553352657794967E+05    0.627015352249145508E+00    0.412020266056060791E+00    0.277731456812973011E+04
    0.582912564277648926E-01    0.781866431121342815E+06    0.170514583587646484E+00    0.208848668047904965E+03    0.551549648916959777E+05    0.381395399570465088E+00    0.705807209014892578E-01    0.277731848188763161E+04
    0.364341557025909424E+00    0.773803603417665348E+06    0.128689551353454590E+01    0.208992340156555173E+03    0.551549026824474349E+05    0.913465142250061035E+00    0.635884642601013184E+00    0.277732147870323661E+04
